"# 95% CL upper limit on alpha_n, massless mediator (m_phi = 0 eV), from Monteiro et al. (2020)"
"# source: Phys. Rev. Lett. 125, 181102 (2020); arXiv:2007.12067"
# extracted from the vector figure combined_limit_plot.pdf in the arXiv:2007.12067 source package by scripts/digitize_reference_limits.py
# ASSUMES f_chi = 1 (this work uses f_DM = 0.1); NOT rescaled
# one-sided: the region ABOVE the curve is excluded
"# clipped to the source figure's axes: m in [100, 1e+08] GeV/c^2, alpha_n in [3e-09, 0.0001]"
mass_gev,alpha_n
1.584431e+02,5.033583e-06
1.881915e+02,1.345675e-07
2.235253e+02,1.848013e-08
2.654931e+02,8.506583e-09
3.153407e+02,7.299744e-09
3.745473e+02,7.148347e-09
4.448702e+02,7.174613e-09
5.283966e+02,7.295621e-09
6.276054e+02,7.444499e-09
7.454411e+02,7.610406e-09
8.854010e+02,7.797073e-09
1.051639e+03,8.008645e-09
1.249089e+03,8.249782e-09
1.483611e+03,8.525783e-09
1.762165e+03,8.842736e-09
2.093020e+03,9.207717e-09
2.485994e+03,9.629029e-09
2.952750e+03,1.011651e-08
3.507142e+03,1.068190e-08
4.165623e+03,1.133936e-08
4.947738e+03,1.210498e-08
5.876697e+03,1.299371e-08
6.980073e+03,1.402214e-08
8.290613e+03,1.520990e-08
9.847213e+03,1.658014e-08
1.169607e+04,1.816012e-08
1.389206e+04,1.998191e-08
1.650036e+04,2.208318e-08
1.959837e+04,2.450821e-08
2.327805e+04,2.730899e-08
2.764861e+04,3.054658e-08
3.283976e+04,3.429268e-08
3.900557e+04,3.863143e-08
4.632904e+04,4.366162e-08
5.502753e+04,4.949909e-08
6.535919e+04,5.627971e-08
7.763067e+04,6.416269e-08
9.220617e+04,7.333448e-08
1.095183e+05,8.401323e-08
1.300808e+05,9.645389e-08
1.545041e+05,1.109541e-07
1.835129e+05,1.278607e-07
2.179683e+05,1.475776e-07
2.588928e+05,1.705735e-07
3.075011e+05,1.973990e-07
3.652358e+05,2.287262e-07
4.338104e+05,2.653600e-07
5.152603e+05,3.082580e-07
6.120027e+05,3.585610e-07
7.269089e+05,4.176310e-07
8.633893e+05,4.870952e-07
1.025494e+06,5.689020e-07
1.218036e+06,6.653868e-07
1.446727e+06,7.793540e-07
1.718357e+06,9.141767e-07
2.040986e+06,1.073918e-06
2.424190e+06,1.263479e-06
2.879342e+06,1.488786e-06
3.419952e+06,1.757010e-06
4.062063e+06,2.076849e-06
4.824733e+06,2.458866e-06
5.730599e+06,2.915916e-06
6.806544e+06,3.463668e-06
8.084503e+06,4.121251e-06
9.602404e+06,4.912070e-06
1.140530e+07,5.864800e-06
1.354669e+07,7.014650e-06
1.609015e+07,8.404921e-06
1.911114e+07,1.008897e-05
2.269934e+07,1.213268e-05
2.696125e+07,1.461751e-05
3.202334e+07,1.764446e-05
3.803587e+07,2.133890e-05
4.517727e+07,2.585683e-05
5.365950e+07,3.139271e-05
6.373431e+07,3.818945e-05
7.570072e+07,4.655110e-05
8.991387e+07,5.685900e-05
