"# 95% CL upper limit on alpha_n, massless mediator (0 eV/c^2), from Tseng et al. (2025)"
# source: arXiv:2508.00815
# extracted from the vector figure figures/combined_alpha_limits.pdf in the arXiv:2508.00815 source package by scripts/digitize_reference_limits.py
# ASSUMES f_chi = 1 (this work uses f_DM = 0.1); NOT rescaled
# one-sided: the region ABOVE the curve is excluded
"# clipped to the source figure's axes: m in [0.1, 1e+07] GeV/c^2, alpha_n in [5e-08, 0.0003]"
mass_gev,alpha_n
2.887528e-01,1.245370e-04
3.359817e-01,1.817035e-05
3.909355e-01,3.800293e-06
4.548776e-01,1.282045e-06
5.292782e-01,6.075499e-07
6.158479e-01,3.177274e-07
7.165771e-01,2.246698e-07
8.337817e-01,1.995580e-07
9.701566e-01,1.839359e-07
1.128837e+00,1.728862e-07
1.313472e+00,1.663868e-07
1.528305e+00,1.628842e-07
1.778278e+00,1.610940e-07
2.069136e+00,1.612185e-07
2.407568e+00,1.630738e-07
2.801354e+00,1.660659e-07
3.259549e+00,1.699220e-07
3.792686e+00,1.750391e-07
4.413025e+00,1.814483e-07
5.134827e+00,1.879633e-07
5.974689e+00,1.959105e-07
6.951920e+00,2.047339e-07
8.088988e+00,2.132881e-07
9.412038e+00,2.235452e-07
1.095149e+01,2.337903e-07
1.274273e+01,2.447655e-07
1.482696e+01,2.570080e-07
1.725208e+01,2.678932e-07
2.007386e+01,2.806425e-07
2.335718e+01,2.937550e-07
2.717752e+01,3.069390e-07
3.162272e+01,3.217382e-07
3.679499e+01,3.361938e-07
4.281325e+01,3.515659e-07
4.981586e+01,3.685420e-07
5.796383e+01,3.850954e-07
6.744450e+01,4.033941e-07
7.847585e+01,4.226541e-07
9.131149e+01,4.427325e-07
1.062466e+02,4.647207e-07
1.236244e+02,4.831602e-07
1.438447e+02,5.024102e-07
1.673722e+02,5.232164e-07
1.947479e+02,5.509944e-07
2.266012e+02,5.815476e-07
2.636645e+02,6.149750e-07
3.067899e+02,6.522628e-07
3.569690e+02,6.929257e-07
4.153555e+02,7.378519e-07
4.832918e+02,7.876663e-07
5.623399e+02,8.434516e-07
6.543172e+02,9.027648e-07
7.613386e+02,9.692409e-07
8.858645e+02,1.042114e-06
1.030758e+03,1.120137e-06
1.199351e+03,1.207250e-06
1.395519e+03,1.299617e-06
1.623772e+03,1.400270e-06
1.889359e+03,1.512011e-06
2.198386e+03,1.627906e-06
2.557958e+03,1.756198e-06
2.976343e+03,1.896181e-06
3.463159e+03,2.043294e-06
4.029599e+03,2.205863e-06
4.688687e+03,2.380911e-06
5.455577e+03,2.566919e-06
6.347902e+03,2.772347e-06
7.386176e+03,2.990537e-06
8.594272e+03,3.225066e-06
9.999967e+03,3.484036e-06
1.353872e+04,4.051012e-06
1.832974e+04,4.715093e-06
2.481620e+04,5.493756e-06
3.359806e+04,6.388557e-06
4.548761e+04,7.429987e-06
6.158459e+04,8.650616e-06
8.337790e+04,1.007360e-05
1.128833e+05,1.170807e-05
1.528300e+05,1.362283e-05
2.069129e+05,1.586833e-05
2.801345e+05,1.845358e-05
3.792674e+05,2.145844e-05
5.134810e+05,2.498041e-05
6.951896e+05,2.909387e-05
9.412006e+05,3.381091e-05
1.274269e+06,3.933657e-05
1.725202e+06,4.581622e-05
2.335710e+06,5.329010e-05
3.162262e+06,6.196171e-05
4.281311e+06,7.212429e-05
5.796364e+06,8.401228e-05
7.847558e+06,9.757360e-05
